,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
141,"[1, -15, -8, 18, -2, 8, -5, 21, 15, 15, -9]","[-2, -9, 21, 1, -8, 8, -15, 15, 15, -5, 18]","[3, -13, -6, 20, 0, 10, -3, 23, 17, 17, -7]","[2, -30, -16, 36, -4, 16, -10, 42, 30, 30, -18]","[1.0, -0.06666666666666667, -0.125, 0.05555555555555555, -0.5, 0.125, -0.2, 0.047619047619047616, 0.06666666666666667, 0.06666666666666667, -0.1111111111111111]","[1, -15, -8, 18, -2, 8, 2, -5, 21, 15, 15, -9]","[1, -15, -8, 18, 8, -5, 21, 15, 15, -9]",-7348320000,-7348320000,0,-15049359360000,-1.3608552703202908e-10,-14696640000,3674160000,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
142,"[16, 2, -21, -7, 9]","[16, 9, -21, -7, 2]","[18, 4, -19, -5, 11]","[32, 4, -42, -14, 18]","[0.0625, 0.5, -0.047619047619047616, -0.14285714285714285, 0.1111111111111111]","[16, 2, -21, -7, 2, 9]","[16, 2, -21, -7]",42336,42336,75240,1354752,2.3620559334845043e-05,84672,4704,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
143,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
144,"[-10, 9, -1, 3, 5, 5, -17, -17, -16, 6, -16, 13]","[-16, 6, 5, 3, -10, -17, -16, 5, -17, 13, 9, -1]","[-8, 11, 1, 5, 7, 7, -15, -15, -14, 8, -14, 15]","[-20, 18, -2, 6, 10, 10, -34, -34, -32, 12, -32, 26]","[-0.1, 0.1111111111111111, -1.0, 0.3333333333333333, 0.2, 0.2, -0.058823529411764705, -0.058823529411764705, -0.0625, 0.16666666666666666, -0.0625, 0.07692307692307693]","[-10, 2, 9, -1, 3, 5, 5, -17, -17, -16, 6, -16, 13]","[-10, 9, -1, 3, 5, 5, -17, -17, -16, 6, -16]",38952576000,38952576000,-114095520000,159549751296000,2.567224308862141e-11,77905152000,2996352000,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
145,"[-21, -6]","[-6, -21]","[-19, -4]","[-42, -12]","[-0.047619047619047616, -0.16666666666666666]","[-21, -6, 2]",[-21],126,126,76,504,0.007936507936507936,252,-21,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
146,"[5, -17, 16, 14, -11, 10, -15, -12, -15]","[16, -17, 5, 10, -11, -12, -15, 14, -15]","[7, -15, 18, 16, -9, 12, -13, -10, -13]","[10, -34, 32, 28, -22, 20, -30, -24, -30]","[0.2, -0.058823529411764705, 0.0625, 0.07142857142857142, -0.09090909090909091, 0.1, -0.06666666666666667, -0.08333333333333333, -0.06666666666666667]","[5, -17, 2, 16, 14, -11, 10, -15, -12, -15]","[5, -17, 16, 14, -11, 10, -12, -15]",-5654880000,-5654880000,-5519404800,-2895298560000,-1.7683841213252976e-10,-11309760000,376992000,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
147,"[0, -20, 21, 16, -12, -12]","[21, -12, 0, 16, -20, -12]","[2, -18, 23, 18, -10, -10]","[0, -40, 42, 32, -24, -24]","['ZeroDivisionError', -0.05, 0.047619047619047616, 0.0625, -0.08333333333333333, -0.08333333333333333]","[0, 2, -20, 21, 16, -12, -12]","[0, -20, 21, -12, -12]",0,0,-1490400,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
148,"[23, 15, -21, 19, 4, -9, 9, 1, 13, -20, 9, -22]","[13, 23, 19, 9, 15, -9, 9, -22, -21, -20, 1, 4]","[25, 17, -19, 21, 6, -7, 11, 3, 15, -18, 11, -20]","[46, 30, -42, 38, 8, -18, 18, 2, 26, -40, 18, -44]","[0.043478260869565216, 0.06666666666666667, -0.047619047619047616, 0.05263157894736842, 0.25, -0.1111111111111111, 0.1111111111111111, 1.0, 0.07692307692307693, -0.05, 0.1111111111111111, -0.045454545454545456]","[23, 15, -21, 19, 4, -9, 9, 2, 1, 13, -20, 9, -22]","[23, 15, -21, 19, 4, -9, 9, 1, 13, -20, -22]",2296019325600,2296019325600,13960838430000,9404495157657600,4.355364037446323e-13,4592038651200,255113258400,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
149,[16],[16],[18],[32],[0.0625],"[16, 2]",[],16,16,18,32,0.0625,32,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
150,"[-17, -23, -3, -25, -1, -17, 9, -10, 10, 3, -1]","[-17, 10, 9, -25, -23, 3, -3, -10, -1, -17, -1]","[-15, -21, -1, -23, 1, -15, 11, -8, 12, 5, 1]","[-34, -46, -6, -50, -2, -34, 18, -20, 20, 6, -2]","[-0.058823529411764705, -0.043478260869565216, -0.3333333333333333, -0.04, -1.0, -0.058823529411764705, 0.1111111111111111, -0.1, 0.1, 0.3333333333333333, -1.0]","[-17, -23, -3, -25, -1, -17, 9, 2, -10, 10, 3, -1]","[-17, -23, -3, -25, -1, -17, 9, -10, 10, -1]",1346017500,1346017500,573804000,2756643840000,7.429323912950611e-10,2692035000,448672500,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
151,"[-4, 5, 11]","[5, 11, -4]","[-2, 7, 13]","[-8, 10, 22]","[-0.25, 0.2, 0.09090909090909091]","[-4, 5, 2, 11]","[5, 11]",-220,-220,-182,-1760,-0.004545454545454546,-440,55,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
152,"[20, 29, 30, 13, -7, 12, 13, 2, 24, 12, 28]","[28, 13, 2, 12, -7, 20, 30, 29, 24, 12, 13]","[22, 31, 32, 15, -5, 14, 15, 4, 26, 14, 30]","[40, 58, 60, 26, -14, 24, 26, 4, 48, 24, 56]","[0.05, 0.034482758620689655, 0.03333333333333333, 0.07692307692307693, -0.14285714285714285, 0.08333333333333333, 0.07692307692307693, 0.5, 0.041666666666666664, 0.08333333333333333, 0.03571428571428571]","[20, 29, 2, 30, 13, -7, 12, 13, 2, 24, 12, 28]","[20, 30, 13, -7, 12, 13, 2, 24, 12, 28]",-3983783731200,-3983783731200,-15014039040000,-8158789081497600,-2.510176423906372e-13,-7967567462400,-137371852800,Violate,Violate,Violate,Violate,Violate,1,1,1,1,1
153,"[21, 10, -9, -5, -16, -2, 15, 2, 0]","[-2, 2, -16, 15, -9, -5, 21, 0, 10]","[23, 12, -7, -3, -14, 0, 17, 4, 2]","[42, 20, -18, -10, -32, -4, 30, 4, 0]","[0.047619047619047616, 0.1, -0.1111111111111111, -0.2, -0.0625, -0.5, 0.06666666666666667, 0.5, 'ZeroDivisionError']","[21, 10, -9, -5, -16, -2, 15, 2, 2, 0]","[21, 10, -9, -5, -16, -2, 2, 0]",0,0,0,0,error,0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
154,"[-4, 13, -10, 4, -5, -6, -14, -5, -13, 12, 16, 16, 3]","[-6, 3, -10, 13, 12, 16, -14, 16, -5, -5, -13, -4, 4]","[-2, 15, -8, 6, -3, -4, -12, -3, -11, 14, 18, 18, 5]","[-8, 26, -20, 8, -10, -12, -28, -10, -26, 24, 32, 32, 6]","[-0.25, 0.07692307692307693, -0.1, 0.25, -0.2, -0.16666666666666666, -0.07142857142857142, -0.2, -0.07692307692307693, 0.08333333333333333, 0.0625, 0.0625, 0.3333333333333333]","[-4, 13, -10, 4, -5, -6, 2, -14, -5, -13, 12, 16, 16, 3]","[-4, 13, -10, 4, -5, -6, -5, -13, 12, 16, 16, 3]",-523321344000,-523321344000,-155196518400,-4287048450048000,-1.9108718026987258e-12,-1046642688000,37380096000,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
155,"[4, -7, 21, -7, -6, -21, 14, 8, -18, -2, 21, 13, -30, -5]","[-5, -30, -18, 14, 21, 8, 4, -21, -7, -2, 13, -6, 21, -7]","[6, -5, 23, -5, -4, -19, 16, 10, -16, 0, 23, 15, -28, -3]","[8, -14, 42, -14, -12, -42, 28, 16, -36, -4, 42, 26, -60, -10]","[0.25, -0.14285714285714285, 0.047619047619047616, -0.14285714285714285, -0.16666666666666666, -0.047619047619047616, 0.07142857142857142, 0.125, -0.05555555555555555, -0.5, 0.047619047619047616, 0.07692307692307693, -0.03333333333333333, -0.2]","[4, -7, 21, -7, -6, -21, 14, 8, -18, -2, 2, 21, 13, -30, -5]","[4, -7, 21, -7, -6, -21, 14, 8, -18, -2, 21, 13, -5]",85628895206400,85628895206400,0,1402943819061657600,1.1678300853813406e-14,171257790412800,-2854296506880,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
156,"[9, -15, -8, 17, -22, 1, -17, -8, -7]","[-7, -8, -17, -8, -22, 9, -15, 1, 17]","[11, -13, -6, 19, -20, 3, -15, -6, -5]","[18, -30, -16, 34, -44, 2, -34, -16, -14]","[0.1111111111111111, -0.06666666666666667, -0.125, 0.058823529411764705, -0.045454545454545456, 1.0, -0.058823529411764705, -0.125, -0.14285714285714285]","[9, -15, -8, 2, 17, -22, 1, -17, -8, -7]","[-15, -8, 17, -22, 1, -17, -8, -7]",384531840,384531840,440154000,196880302080,2.600564884301908e-09,769063680,42725760,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
157,"[27, 25, -3, 19, 16, -27, 22, -20, -11]","[-3, 22, -11, 19, 27, 25, -20, 16, -27]","[29, 27, -1, 21, 18, -25, 24, -18, -9]","[54, 50, -6, 38, 32, -54, 44, -40, -22]","[0.037037037037037035, 0.04, -0.3333333333333333, 0.05263157894736842, 0.0625, -0.037037037037037035, 0.045454545454545456, -0.05, -0.09090909090909091]","[27, 2, 25, -3, 19, 16, -27, 22, -20, -11]","[27, 25, -3, 19, 16, 22, -20, -11]",80446608000,80446608000,28768672800,41188663296000,1.2430604905057025e-11,160893216000,-2979504000,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
158,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
159,"[-21, -20, -8, 11, -4, 19, 5, 7, -4]","[-8, -4, 11, -20, 7, 5, -4, -21, 19]","[-19, -18, -6, 13, -2, 21, 7, 9, -2]","[-42, -40, -16, 22, -8, 38, 10, 14, -8]","[-0.047619047619047616, -0.05, -0.125, 0.09090909090909091, -0.25, 0.05263157894736842, 0.2, 0.14285714285714285, -0.25]","[-21, -20, -8, 11, -4, 19, 5, 7, 2, -4]","[-21, -20, -8, 11, -4, 5, 7, -4]",-393254400,-393254400,-141169392,-201346252800,-2.5428831819809267e-09,-786508800,-20697600,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
160,"[-1, 10, -30, -12, -1, 14]","[-1, -12, -30, 14, 10, -1]","[1, 12, -28, -10, 1, 16]","[-2, 20, -60, -24, -2, 28]","[-1.0, 0.1, -0.03333333333333333, -0.08333333333333333, -1.0, 0.07142857142857142]","[-1, 10, -30, -12, -1, 14, 2]","[-1, 10, -12, -1, 14]",50400,50400,53760,3225600,1.984126984126984e-05,100800,-1680,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
161,"[-21, -4, 25]","[-21, 25, -4]","[-19, -2, 27]","[-42, -8, 50]","[-0.047619047619047616, -0.25, 0.04]","[-21, -4, 25, 2]","[-4, 25]",2100,2100,1026,16800,0.0004761904761904762,4200,-100,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
162,"[10, 19, -1, -3, 20, 10, 24, 31]","[24, -3, 19, 10, -1, 31, 10, 20]","[12, 21, 1, -1, 22, 12, 26, 33]","[20, 38, -2, -6, 40, 20, 48, 62]","[0.1, 0.05263157894736842, -1.0, -0.3333333333333333, 0.05, 0.1, 0.041666666666666664, 0.03225806451612903]","[10, 19, -1, -3, 20, 2, 10, 24, 31]","[10, 19, -1, -3, 10, 24, 31]",84816000,84816000,-57081024,21712896000,1.179022825881909e-08,169632000,4240800,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
163,"[-16, -23, 17]","[17, -23, -16]","[-14, -21, 19]","[-32, -46, 34]","[-0.0625, -0.043478260869565216, 0.058823529411764705]","[-16, -23, 17, 2]","[-23, 17]",6256,6256,5586,50048,0.000159846547314578,12512,-391,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
164,"[-19, 16, 0, 2, 9, -3, 0, -4, 10]","[10, -19, -3, 9, 2, 16, 0, -4, 0]","[-17, 18, 2, 4, 11, -1, 2, -2, 12]","[-38, 32, 0, 4, 18, -6, 0, -8, 20]","[-0.05263157894736842, 0.0625, 'ZeroDivisionError', 0.5, 0.1111111111111111, -0.3333333333333333, 'ZeroDivisionError', -0.25, 0.1]","[-19, 16, 0, 2, 9, -3, 2, 0, -4, 10]","[-19, 16, 0, 2, 9, 0, -4, 10]",0,0,-1292544,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
165,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
166,"[-31, -34, 30, 25, -10, 0, 7, 22, -8]","[0, 30, -10, -34, -8, 7, 25, -31, 22]","[-29, -32, 32, 27, -8, 2, 9, 24, -6]","[-62, -68, 60, 50, -20, 0, 14, 44, -16]","[-0.03225806451612903, -0.029411764705882353, 0.03333333333333333, 0.04, -0.1, 'ZeroDivisionError', 0.14285714285714285, 0.045454545454545456, -0.125]","[-31, -34, 30, 25, -10, 0, 7, 22, 2, -8]","[-31, -34, 30, 25, -10, 0, 22, -8]",0,0,16625958912,0,error,0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
167,"[-3, 10, 18, 6, 13, -3]","[6, 13, -3, -3, 10, 18]","[-1, 12, 20, 8, 15, -1]","[-6, 20, 36, 12, 26, -6]","[-0.3333333333333333, 0.1, 0.05555555555555555, 0.16666666666666666, 0.07692307692307693, -0.3333333333333333]","[-3, 10, 18, 2, 6, 13, -3]","[-3, 10, 18, 6, 13]",126360,126360,28800,8087040,7.913896802785689e-06,252720,-42120,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
168,"[-11, 14, -20, -28, -3, -21]","[-3, -28, -11, -20, 14, -21]","[-9, 16, -18, -26, -1, -19]","[-22, 28, -40, -56, -6, -42]","[-0.09090909090909091, 0.07142857142857142, -0.05, -0.03571428571428571, -0.3333333333333333, -0.047619047619047616]","[2, -11, 14, -20, -28, -3, -21]","[-11, 14, -28, -3, -21]",-5433120,-5433120,-1280448,-347719680,-1.8405630650528606e-07,-10866240,271656,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
169,"[7, 0, -11, -3, -11, -16, -9, -4, 15, -2, 3]","[-16, 0, -11, -3, -2, 7, 3, -9, -4, -11, 15]","[9, 2, -9, -1, -9, -14, -7, -2, 17, 0, 5]","[14, 0, -22, -6, -22, -32, -18, -8, 30, -4, 6]","[0.14285714285714285, 'ZeroDivisionError', -0.09090909090909091, -0.3333333333333333, -0.09090909090909091, -0.0625, -0.1111111111111111, -0.25, 0.06666666666666667, -0.5, 0.3333333333333333]","[7, 2, 0, -11, -3, -11, -16, -9, -4, 15, -2, 3]","[7, 0, -11, -3, -11, -16, -4, 15, -2, 3]",0,0,0,0,error,0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
170,[24],[24],[26],[48],[0.041666666666666664],"[2, 24]",[],24,24,26,48,0.041666666666666664,48,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
171,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
172,"[-11, -17, -2, -15, -4, 6, 9, -21, -1, 3, 8, -2]","[3, -4, -15, 6, -2, 9, -21, -1, -2, 8, -17, -11]","[-9, -15, 0, -13, -2, 8, 11, -19, 1, 5, 10, 0]","[-22, -34, -4, -30, -8, 12, 18, -42, -2, 6, 16, -4]","[-0.09090909090909091, -0.058823529411764705, -0.5, -0.06666666666666667, -0.25, 0.16666666666666666, 0.1111111111111111, -0.047619047619047616, -1.0, 0.3333333333333333, 0.125, -0.5]","[-11, -17, -2, -15, -4, 6, 9, 2, -21, -1, 3, 8, -2]","[-11, -17, -2, -15, -4, 6, 9, -21, -1, 8, -2]",1221454080,1221454080,0,5003075911680,8.186963524654155e-10,2442908160,407151360,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
173,"[13, -3, 5, -16, 21, 17]","[13, 21, 17, 5, -16, -3]","[15, -1, 7, -14, 23, 19]","[26, -6, 10, -32, 42, 34]","[0.07692307692307693, -0.3333333333333333, 0.2, -0.0625, 0.047619047619047616, 0.058823529411764705]","[13, -3, 5, -16, 2, 21, 17]","[13, 5, -16, 21, 17]",1113840,1113840,642390,71285760,8.977950154420743e-07,2227680,-371280,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
174,[13],[13],[15],[26],[0.07692307692307693],"[2, 13]",[],13,13,15,26,0.07692307692307693,26,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
175,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
176,"[6, -1, 16, 4, 3]","[16, 3, 4, 6, -1]","[8, 1, 18, 6, 5]","[12, -2, 32, 8, 6]","[0.16666666666666666, -1.0, 0.0625, 0.25, 0.3333333333333333]","[6, -1, 16, 4, 3, 2]","[6, -1, 16, 3]",-1152,-1152,4320,-36864,-0.0008680555555555555,-2304,-288,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
177,"[17, 29, 15, -21]","[-21, 17, 15, 29]","[19, 31, 17, -19]","[34, 58, 30, -42]","[0.058823529411764705, 0.034482758620689655, 0.06666666666666667, -0.047619047619047616]","[2, 17, 29, 15, -21]","[17, 29, 15]",-155295,-155295,-190247,-2484720,-6.439357352136256e-06,-310590,7395,Violate,Violate,Violate,Violate,Violate,1,1,1,1,1
178,"[-5, -32, -2, 1, 27, 28, -11, 13, -30, 2, 12, 27, 10]","[27, 27, 28, 1, -11, -30, 2, -2, 12, 13, -32, -5, 10]","[-3, -30, 0, 3, 29, 30, -9, 15, -28, 4, 14, 29, 12]","[-10, -64, -4, 2, 54, 56, -22, 26, -60, 4, 24, 54, 20]","[-0.2, -0.03125, -0.5, 1.0, 0.037037037037037035, 0.03571428571428571, -0.09090909090909091, 0.07692307692307693, -0.03333333333333333, 0.5, 0.08333333333333333, 0.037037037037037035, 0.1]","[-5, -32, -2, 1, 2, 27, 28, -11, 13, -30, 2, 12, 27, 10]","[-5, -32, 1, 27, 28, -11, 13, -30, 2, 12, 27, 10]",-6725182464000,-6725182464000,0,-55092694745088000,-1.486948503409409e-13,-13450364928000,3362591232000,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
179,"[18, -3]","[-3, 18]","[20, -1]","[36, -6]","[0.05555555555555555, -0.3333333333333333]","[18, -3, 2]",[18],-54,-54,-20,-216,-0.018518518518518517,-108,18,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
180,"[15, -16, 1, -3, -3, 14, -11, 18, 9]","[-3, 18, 1, -3, 15, -16, 14, 9, -11]","[17, -14, 3, -1, -1, 16, -9, 20, 11]","[30, -32, 2, -6, -6, 28, -22, 36, 18]","[0.06666666666666667, -0.0625, 1.0, -0.3333333333333333, -0.3333333333333333, 0.07142857142857142, -0.09090909090909091, 0.05555555555555555, 0.1111111111111111]","[15, -16, 1, -3, -3, 14, -11, 2, 18, 9]","[15, -16, 1, -3, 14, -11, 18, 9]",53887680,53887680,22619520,27590492160,1.855711732254941e-08,107775360,-17962560,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
181,"[3, -18]","[-18, 3]","[5, -16]","[6, -36]","[0.3333333333333333, -0.05555555555555555]","[3, 2, -18]",[3],-54,-54,-80,-216,-0.018518518518518517,-108,3,Violate,Violate,Violate,Violate,Violate,1,1,1,1,1
182,"[1, 2, -12, 2, -3, -15, 0, 7, 9]","[-15, 9, 2, -3, 0, -12, 7, 1, 2]","[3, 4, -10, 4, -1, -13, 2, 9, 11]","[2, 4, -24, 4, -6, -30, 0, 14, 18]","[1.0, 0.5, -0.08333333333333333, 0.5, -0.3333333333333333, -0.06666666666666667, 'ZeroDivisionError', 0.14285714285714285, 0.1111111111111111]","[1, 2, 2, -12, 2, -3, -15, 0, 7, 9]","[1, -12, 2, -3, -15, 0, 7, 9]",0,0,-1235520,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
183,"[-14, 15]","[15, -14]","[-12, 17]","[-28, 30]","[-0.07142857142857142, 0.06666666666666667]","[-14, 15, 2]",[-14],-210,-210,-204,-840,-0.0047619047619047615,-420,-14,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
184,"[-4, -4, 12, 5, -2, -7, 14, 6, 4, 9, 7, 16, 15]","[-4, -4, 7, 4, -2, 6, 5, 15, 14, 16, 9, -7, 12]","[-2, -2, 14, 7, 0, -5, 16, 8, 6, 11, 9, 18, 17]","[-8, -8, 24, 10, -4, -14, 28, 12, 8, 18, 14, 32, 30]","[-0.25, -0.25, 0.08333333333333333, 0.2, -0.5, -0.14285714285714285, 0.07142857142857142, 0.16666666666666666, 0.25, 0.1111111111111111, 0.14285714285714285, 0.0625, 0.06666666666666667]","[-4, -4, 12, 5, -2, -7, 14, 6, 4, 9, 7, 16, 15, 2]","[-4, -4, 5, -2, -7, 14, 6, 4, 9, 7, 16, 15]",68279500800,68279500800,0,559345670553600,1.4645684111387058e-11,136559001600,5689958400,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
185,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
186,"[27, 7, 2, 21]","[2, 27, 7, 21]","[29, 9, 4, 23]","[54, 14, 4, 42]","[0.037037037037037035, 0.14285714285714285, 0.5, 0.047619047619047616]","[27, 7, 2, 2, 21]","[27, 2, 21]",7938,7938,24012,127008,0.00012597631645250691,15876,1134,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
187,"[13, -7, -10, -14, 6, -14, -11, 7, 15]","[15, -10, -14, 6, -14, -7, 13, -11, 7]","[15, -5, -8, -12, 8, -12, -9, 9, 17]","[26, -14, -20, -28, 12, -28, -22, 14, 30]","[0.07692307692307693, -0.14285714285714285, -0.1, -0.07142857142857142, 0.16666666666666666, -0.07142857142857142, -0.09090909090909091, 0.14285714285714285, 0.06666666666666667]","[13, -7, -10, -14, 6, -14, -11, 7, 2, 15]","[13, -7, -10, -14, 6, -11, 7, 15]",-1236034800,-1236034800,-951782400,-632849817600,-8.090387099133455e-10,-2472069600,88288200,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
188,[7],[7],[9],[14],[0.14285714285714285],"[2, 7]",[],7,7,9,14,0.14285714285714285,14,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
189,"[-6, 13, -9, 8, -2, 15, -3, 9, 15, 13, 9]","[13, -3, -2, 8, -9, 9, 15, -6, 13, 9, 15]","[-4, 15, -7, 10, 0, 17, -1, 11, 17, 15, 11]","[-12, 26, -18, 16, -4, 30, -6, 18, 30, 26, 18]","[-0.16666666666666666, 0.07692307692307693, -0.1111111111111111, 0.125, -0.5, 0.06666666666666667, -0.3333333333333333, 0.1111111111111111, 0.06666666666666667, 0.07692307692307693, 0.1111111111111111]","[-6, 13, -9, 8, -2, 15, -3, 9, 15, 2, 13, 9]","[-6, 13, -9, 8, -2, 15, -3, 9, 13, 9]",7983424800,7983424800,0,16350053990400,1.2525952521028316e-10,15966849600,532228320,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
190,"[-16, -5, 16, 8, 16, -9, -13, 3, 10, 4, 4, -7, -3]","[-9, 8, 4, 16, -13, 10, 16, 4, -16, -7, -3, -5, 3]","[-14, -3, 18, 10, 18, -7, -11, 5, 12, 6, 6, -5, -1]","[-32, -10, 32, 16, 32, -18, -26, 6, 20, 8, 8, -14, -6]","[-0.0625, -0.2, 0.0625, 0.125, 0.0625, -0.1111111111111111, -0.07692307692307693, 0.3333333333333333, 0.1, 0.25, 0.25, -0.14285714285714285, -0.3333333333333333]","[-16, -5, 16, 8, 16, -9, -13, 3, 10, 4, 2, 4, -7, -3]","[-16, -5, 16, 8, 16, -9, -13, 3, 10, 4, -7, -3]",193226342400,193226342400,113164128000,1582910196940800,5.175277798975716e-12,386452684800,48306585600,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
191,"[0, -11, 22, -16, -20, 20, 11]","[-20, 20, -16, 0, 11, -11, 22]","[2, -9, 24, -14, -18, 22, 13]","[0, -22, 44, -32, -40, 40, 22]","['ZeroDivisionError', -0.09090909090909091, 0.045454545454545456, -0.0625, -0.05, 0.05, 0.09090909090909091]","[0, -11, 22, -16, -20, 20, 11, 2]","[0, -11, 22, -20, 20, 11]",0,0,-31135104,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
192,"[-2, 19, 6, 15, -15, 22, 1, 14]","[6, 19, 14, -15, -2, 15, 22, 1]","[0, 21, 8, 17, -13, 24, 3, 16]","[-4, 38, 12, 30, -30, 44, 2, 28]","[-0.5, 0.05263157894736842, 0.16666666666666666, 0.06666666666666667, -0.06666666666666667, 0.045454545454545456, 1.0, 0.07142857142857142]","[-2, 19, 6, 15, 2, -15, 22, 1, 14]","[-2, 6, 15, -15, 22, 1, 14]",15800400,15800400,0,4044902400,6.328953697374749e-08,31600800,831600,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
193,"[-5, 28, -32, -16, -32, -23, 9, 18, 19, -12, -8, -34, 22, -9]","[-12, -8, 28, -16, 9, -32, -23, -5, -34, 22, 19, -32, -9, 18]","[-3, 30, -30, -14, -30, -21, 11, 20, 21, -10, -6, -32, 24, -7]","[-10, 56, -64, -32, -64, -46, 18, 36, 38, -24, -16, -68, 44, -18]","[-0.2, 0.03571428571428571, -0.03125, -0.0625, -0.03125, -0.043478260869565216, 0.1111111111111111, 0.05555555555555555, 0.05263157894736842, -0.08333333333333333, -0.125, -0.029411764705882353, 0.045454545454545456, -0.1111111111111111]","[-5, 28, -32, -16, -32, -23, 9, 18, 19, -12, -8, 2, -34, 22, -9]","[-5, -32, -16, -32, -23, 9, 18, 19, -12, -8, -34, 22, -9]",-104944520323399680,-104944520323399680,-35488270540800000,-1719411020978580357120,-9.528844354315734e-18,-209889040646799360,-3748018582978560,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
194,"[25, -22, 23, -19, -24, 25, -6, 27, -2, -16, 3, 10, -2]","[-19, 3, -6, -24, 25, -2, 23, -22, 25, 27, -16, -2, 10]","[27, -20, 25, -17, -22, 27, -4, 29, 0, -14, 5, 12, 0]","[50, -44, 46, -38, -48, 50, -12, 54, -4, -32, 6, 20, -4]","[0.04, -0.045454545454545456, 0.043478260869565216, -0.05263157894736842, -0.041666666666666664, 0.04, -0.16666666666666666, 0.037037037037037035, -0.5, -0.0625, 0.3333333333333333, 0.1, -0.5]","[25, -22, 23, -19, -24, 25, -6, 27, -2, 2, -16, 3, 10, -2]","[25, -22, -19, -24, 25, -6, 27, -2, -16, 3, 10, -2]",-44855078400000,-44855078400000,0,-367452802252800000,-2.2294019666678368e-14,-89710156800000,-1950220800000,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
195,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
