,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
835,"[-8, 3, -14]","[-7, -2, -3]","[-4, 7, -10]","[-3, 2, 1]","[-8, 3]","[-7, -2]","[-8, 3, -14, 4]","[-7, -2, -3, 4]","[-8, 3, -14, -0.125, 0.3333333333333333, -0.07142857142857142]","[-7, -2, -3, -0.14285714285714285, -0.5, -0.3333333333333333]","[-32, 12, -56]","[-28, -8, -12]","[3, -14, -8]","[-2, -7, -3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
836,"[1, 3, -5, -5, -1, 5, 4, -4, -4]","[5, -1, 4, 1, -3, 2, -1, 1, 1]","[5, 7, -1, -1, 3, 9, 8, 0, 0]","[9, 3, 8, 5, 1, 6, 3, 5, 5]","[1, 3, -5, -5, -1, 4, -4, -4]","[5, -1, 4, 1, -3, -1, 1, 1]","[1, 3, -5, -5, -1, 5, 4, 4, -4, -4]","[5, -1, 4, 1, -3, 2, 4, -1, 1, 1]","[1, 3, -5, -5, -1, 5, 4, -4, -4, 1.0, 0.3333333333333333, -0.2, -0.2, -1.0, 0.2, 0.25, -0.25, -0.25]","[5, -1, 4, 1, -3, 2, -1, 1, 1, 0.2, -1.0, 0.25, 1.0, -0.3333333333333333, 0.5, -1.0, 1.0, 1.0]","[4, 12, -20, -20, -4, 20, 16, -16, -16]","[20, -4, 16, 4, -12, 8, -4, 4, 4]","[-5, 1, 3, 5, -4, -1, -4, 4, -5]","[1, 5, -1, 1, 2, -1, 4, 1, -3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
837,"[14, 4, -1, 16]","[10, -7, 8, 11]","[18, 8, 3, 20]","[14, -3, 12, 15]","[4, -1, 16]","[-7, 8, 11]","[4, 14, 4, -1, 16]","[4, 10, -7, 8, 11]","[14, 4, -1, 16, 0.07142857142857142, 0.25, -1.0, 0.0625]","[10, -7, 8, 11, 0.1, -0.14285714285714285, 0.125, 0.09090909090909091]","[56, 16, -4, 64]","[40, -28, 32, 44]","[14, 4, -1, 16]","[-7, 8, 11, 10]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
838,"[-15, -3]","[-1, 7]","[-11, 1]","[3, 11]",[-15],[-1],"[-15, 4, -3]","[-1, 4, 7]","[-15, -3, -0.06666666666666667, -0.3333333333333333]","[-1, 7, -1.0, 0.14285714285714285]","[-60, -12]","[-4, 28]","[-15, -3]","[7, -1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
839,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],error,[],error,error,error,error,error,error,error,error,error,error
840,"[9, -6, 18, 12, -1]","[-4, 18, 14, 4, -6]","[13, -2, 22, 16, 3]","[0, 22, 18, 8, -2]","[9, 18, 12, -1]","[-4, 14, 4, -6]","[4, 9, -6, 18, 12, -1]","[4, -4, 18, 14, 4, -6]","[9, -6, 18, 12, -1, 0.1111111111111111, -0.16666666666666666, 0.05555555555555555, 0.08333333333333333, -1.0]","[-4, 18, 14, 4, -6, -0.25, 0.05555555555555555, 0.07142857142857142, 0.25, -0.16666666666666666]","[36, -24, 72, 48, -4]","[-16, 72, 56, 16, -24]","[-1, 18, 12, -6, 9]","[18, 4, -4, 14, -6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
841,"[4, -6, -17, -2, -17, -13, -7, -17]","[-5, 2, -14, -16, 1, 1, -18, 2]","[8, -2, -13, 2, -13, -9, -3, -13]","[-1, 6, -10, -12, 5, 5, -14, 6]","[4, -6, -2, -17, -13, -7, -17]","[-5, 2, -16, 1, 1, -18, 2]","[4, -6, -17, 4, -2, -17, -13, -7, -17]","[-5, 2, -14, 4, -16, 1, 1, -18, 2]","[4, -6, -17, -2, -17, -13, -7, -17, 0.25, -0.16666666666666666, -0.058823529411764705, -0.5, -0.058823529411764705, -0.07692307692307693, -0.14285714285714285, -0.058823529411764705]","[-5, 2, -14, -16, 1, 1, -18, 2, -0.2, 0.5, -0.07142857142857142, -0.0625, 1.0, 1.0, -0.05555555555555555, 0.5]","[16, -24, -68, -8, -68, -52, -28, -68]","[-20, 8, -56, -64, 4, 4, -72, 8]","[-17, -17, -13, -2, -17, -7, 4, -6]","[-18, -5, -14, 1, -16, 1, 2, 2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
842,"[-10, -11, 2, -2, 1, -2, -3, -1, 2, -12, -5, -4]","[-9, 1, -2, -13, -12, -13, -7, 3, -10, -3, 3, 3]","[-6, -7, 6, 2, 5, 2, 1, 3, 6, -8, -1, 0]","[-5, 5, 2, -9, -8, -9, -3, 7, -6, 1, 7, 7]","[-10, -11, 2, -2, 1, -2, -3, -1, 2, -12, -5]","[-9, 1, -2, -13, -12, -13, -7, 3, -10, -3, 3]","[-10, -11, 2, -2, 1, -2, -3, 4, -1, 2, -12, -5, -4]","[-9, 1, -2, -13, -12, -13, -7, 4, 3, -10, -3, 3, 3]","[-10, -11, 2, -2, 1, -2, -3, -1, 2, -12, -5, -4, -0.1, -0.09090909090909091, 0.5, -0.5, 1.0, -0.5, -0.3333333333333333, -1.0, 0.5, -0.08333333333333333, -0.2, -0.25]","[-9, 1, -2, -13, -12, -13, -7, 3, -10, -3, 3, 3, -0.1111111111111111, 1.0, -0.5, -0.07692307692307693, -0.08333333333333333, -0.07692307692307693, -0.14285714285714285, 0.3333333333333333, -0.1, -0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[-40, -44, 8, -8, 4, -8, -12, -4, 8, -48, -20, -16]","[-36, 4, -8, -52, -48, -52, -28, 12, -40, -12, 12, 12]","[-5, 2, -3, 1, -1, 2, -10, -2, -2, -12, -4, -11]","[3, -9, -13, -7, -3, 3, -10, -12, 1, 3, -2, -13]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
843,"[-2, 4, 15, -7, -14, -17, 2, -8, 13, -7, -1, -15, 12, 9]","[-17, 3, 7, 2, -18, -18, -2, 14, -6, 1, 13, -11, 15, 0]","[2, 8, 19, -3, -10, -13, 6, -4, 17, -3, 3, -11, 16, 13]","[-13, 7, 11, 6, -14, -14, 2, 18, -2, 5, 17, -7, 19, 4]","[-2, 4, 15, -7, -14, -17, 2, -8, 13, -1, -15, 12, 9]","[-17, 3, 7, 2, -18, -18, -2, 14, -6, 13, -11, 15, 0]","[-2, 4, 15, -7, -14, 4, -17, 2, -8, 13, -7, -1, -15, 12, 9]","[-17, 3, 7, 2, -18, 4, -18, -2, 14, -6, 1, 13, -11, 15, 0]","[-2, 4, 15, -7, -14, -17, 2, -8, 13, -7, -1, -15, 12, 9, -0.5, 0.25, 0.06666666666666667, -0.14285714285714285, -0.07142857142857142, -0.058823529411764705, 0.5, -0.125, 0.07692307692307693, -0.14285714285714285, -1.0, -0.06666666666666667, 0.08333333333333333, 0.1111111111111111]","[-17, 3, 7, 2, -18, -18, -2, 14, -6, 1, 13, -11, 15, 0, -0.058823529411764705, 0.3333333333333333, 0.14285714285714285, 0.5, -0.05555555555555555, -0.05555555555555555, -0.5, 0.07142857142857142, -0.16666666666666666, 1.0, 0.07692307692307693, -0.09090909090909091, 0.06666666666666667, 'ZeroDivisionError']","[-8, 16, 60, -28, -56, -68, 8, -32, 52, -28, -4, -60, 48, 36]","[-68, 12, 28, 8, -72, -72, -8, 56, -24, 4, 52, -44, 60, 0]","[-15, -1, -7, -7, 9, 13, 12, -17, -2, 2, 4, -8, 15, -14]","[15, -2, -6, 7, 2, 3, -18, -18, 13, -17, 1, -11, 14, 0]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
844,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],error,[],error,error,error,error,error,error,error,error,error,error
845,"[11, -12, 11, -3, 3, 8, -9, 2, 8, 9, -14, -5, 2]","[13, 2, 10, 7, -5, -11, -11, -12, -2, -12, 13, -12, -5]","[15, -8, 15, 1, 7, 12, -5, 6, 12, 13, -10, -1, 6]","[17, 6, 14, 11, -1, -7, -7, -8, 2, -8, 17, -8, -1]","[11, -12, 11, -3, 3, -9, 2, 8, 9, -14, -5, 2]","[13, 2, 10, 7, -5, -11, -12, -2, -12, 13, -12, -5]","[11, -12, 4, 11, -3, 3, 8, -9, 2, 8, 9, -14, -5, 2]","[13, 2, 4, 10, 7, -5, -11, -11, -12, -2, -12, 13, -12, -5]","[11, -12, 11, -3, 3, 8, -9, 2, 8, 9, -14, -5, 2, 0.09090909090909091, -0.08333333333333333, 0.09090909090909091, -0.3333333333333333, 0.3333333333333333, 0.125, -0.1111111111111111, 0.5, 0.125, 0.1111111111111111, -0.07142857142857142, -0.2, 0.5]","[13, 2, 10, 7, -5, -11, -11, -12, -2, -12, 13, -12, -5, 0.07692307692307693, 0.5, 0.1, 0.14285714285714285, -0.2, -0.09090909090909091, -0.09090909090909091, -0.08333333333333333, -0.5, -0.08333333333333333, 0.07692307692307693, -0.08333333333333333, -0.2]","[44, -48, 44, -12, 12, 32, -36, 8, 32, 36, -56, -20, 8]","[52, 8, 40, 28, -20, -44, -44, -48, -8, -48, 52, -48, -20]","[2, 8, 8, -3, 11, 3, -12, 9, -9, 2, 11, -5, -14]","[13, -5, 10, -11, -5, 13, 7, 2, -12, -12, -11, -12, -2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
846,"[3, 2, 2, -8, -3, -4, -2, -1, -1, 2]","[3, -4, 1, 5, -3, -7, -5, 5, 2, -6]","[7, 6, 6, -4, 1, 0, 2, 3, 3, 6]","[7, 0, 5, 9, 1, -3, -1, 9, 6, -2]","[3, 2, 2, -8, -3, -4, -1, -1, 2]","[3, -4, 1, 5, -3, -7, 5, 2, -6]","[3, 2, 2, -8, -3, -4, -2, -1, 4, -1, 2]","[3, -4, 1, 5, -3, -7, -5, 5, 4, 2, -6]","[3, 2, 2, -8, -3, -4, -2, -1, -1, 2, 0.3333333333333333, 0.5, 0.5, -0.125, -0.3333333333333333, -0.25, -0.5, -1.0, -1.0, 0.5]","[3, -4, 1, 5, -3, -7, -5, 5, 2, -6, 0.3333333333333333, -0.25, 1.0, 0.2, -0.3333333333333333, -0.14285714285714285, -0.2, 0.2, 0.5, -0.16666666666666666]","[12, 8, 8, -32, -12, -16, -8, -4, -4, 8]","[12, -16, 4, 20, -12, -28, -20, 20, 8, -24]","[2, 3, -1, 2, -8, -1, 2, -2, -4, -3]","[-6, -3, 3, 5, 2, 1, 5, -4, -7, -5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
847,"[2, -6]","[6, 9]","[6, -2]","[10, 13]",[2],[6],"[2, -6, 4]","[6, 9, 4]","[2, -6, 0.5, -0.16666666666666666]","[6, 9, 0.16666666666666666, 0.1111111111111111]","[8, -24]","[24, 36]","[-6, 2]","[6, 9]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
848,"[2, 10, 1, 8, 7, -1, 1, 3]","[9, -9, -11, 5, -8, -10, -9, -5]","[6, 14, 5, 12, 11, 3, 5, 7]","[13, -5, -7, 9, -4, -6, -5, -1]","[2, 10, 1, 8, 7, 1, 3]","[9, -9, -11, 5, -8, -9, -5]","[2, 10, 1, 8, 7, -1, 4, 1, 3]","[9, -9, -11, 5, -8, -10, 4, -9, -5]","[2, 10, 1, 8, 7, -1, 1, 3, 0.5, 0.1, 1.0, 0.125, 0.14285714285714285, -1.0, 1.0, 0.3333333333333333]","[9, -9, -11, 5, -8, -10, -9, -5, 0.1111111111111111, -0.1111111111111111, -0.09090909090909091, 0.2, -0.125, -0.1, -0.1111111111111111, -0.2]","[8, 40, 4, 32, 28, -4, 4, 12]","[36, -36, -44, 20, -32, -40, -36, -20]","[1, 10, -1, 1, 7, 3, 8, 2]","[-5, -10, -9, -9, 9, 5, -8, -11]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
849,"[-3, 2, -3, -3, -10, -8, -13, -11]","[-5, -5, -7, 2, -5, -4, 2, -3]","[1, 6, 1, 1, -6, -4, -9, -7]","[-1, -1, -3, 6, -1, 0, 6, 1]","[-3, 2, -3, -3, -10, -13, -11]","[-5, -5, -7, 2, -5, 2, -3]","[-3, 2, 4, -3, -3, -10, -8, -13, -11]","[-5, -5, 4, -7, 2, -5, -4, 2, -3]","[-3, 2, -3, -3, -10, -8, -13, -11, -0.3333333333333333, 0.5, -0.3333333333333333, -0.3333333333333333, -0.1, -0.125, -0.07692307692307693, -0.09090909090909091]","[-5, -5, -7, 2, -5, -4, 2, -3, -0.2, -0.2, -0.14285714285714285, 0.5, -0.2, -0.25, 0.5, -0.3333333333333333]","[-12, 8, -12, -12, -40, -32, -52, -44]","[-20, -20, -28, 8, -20, -16, 8, -12]","[-8, -11, -13, -3, -10, 2, -3, -3]","[-5, -5, -7, -4, 2, -5, 2, -3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
850,"[-8, 6, -4, 1, -3, -5, 4, -2, -8, 5]","[6, 4, -1, -13, 2, -10, -7, -2, 3, 5]","[-4, 10, 0, 5, 1, -1, 8, 2, -4, 9]","[10, 8, 3, -9, 6, -6, -3, 2, 7, 9]","[-8, 6, -4, 1, -5, 4, -2, -8, 5]","[6, 4, -1, -13, -10, -7, -2, 3, 5]","[-8, 6, -4, 4, 1, -3, -5, 4, -2, -8, 5]","[6, 4, -1, 4, -13, 2, -10, -7, -2, 3, 5]","[-8, 6, -4, 1, -3, -5, 4, -2, -8, 5, -0.125, 0.16666666666666666, -0.25, 1.0, -0.3333333333333333, -0.2, 0.25, -0.5, -0.125, 0.2]","[6, 4, -1, -13, 2, -10, -7, -2, 3, 5, 0.16666666666666666, 0.25, -1.0, -0.07692307692307693, 0.5, -0.1, -0.14285714285714285, -0.5, 0.3333333333333333, 0.2]","[-32, 24, -16, 4, -12, -20, 16, -8, -32, 20]","[24, 16, -4, -52, 8, -40, -28, -8, 12, 20]","[-4, 1, -8, 4, 5, -8, -5, -2, 6, -3]","[6, -10, 2, -2, -1, 4, 5, 3, -7, -13]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
851,"[-12, -8, -4, -11, 1, 1, 2, -5, 3, -3, -1, -9, -3, -4]","[-13, -5, -13, -11, -4, 2, 1, 1, -9, -11, -9, -12, -3, 3]","[-8, -4, 0, -7, 5, 5, 6, -1, 7, 1, 3, -5, 1, 0]","[-9, -1, -9, -7, 0, 6, 5, 5, -5, -7, -5, -8, 1, 7]","[-12, -8, -4, -11, 1, 1, 2, -5, 3, -1, -9, -3, -4]","[-13, -5, -13, -11, -4, 2, 1, 1, -9, -9, -12, -3, 3]","[-12, -8, -4, 4, -11, 1, 1, 2, -5, 3, -3, -1, -9, -3, -4]","[-13, -5, -13, 4, -11, -4, 2, 1, 1, -9, -11, -9, -12, -3, 3]","[-12, -8, -4, -11, 1, 1, 2, -5, 3, -3, -1, -9, -3, -4, -0.08333333333333333, -0.125, -0.25, -0.09090909090909091, 1.0, 1.0, 0.5, -0.2, 0.3333333333333333, -0.3333333333333333, -1.0, -0.1111111111111111, -0.3333333333333333, -0.25]","[-13, -5, -13, -11, -4, 2, 1, 1, -9, -11, -9, -12, -3, 3, -0.07692307692307693, -0.2, -0.07692307692307693, -0.09090909090909091, -0.25, 0.5, 1.0, 1.0, -0.1111111111111111, -0.09090909090909091, -0.1111111111111111, -0.08333333333333333, -0.3333333333333333, 0.3333333333333333]","[-48, -32, -16, -44, 4, 4, 8, -20, 12, -12, -4, -36, -12, -16]","[-52, -20, -52, -44, -16, 8, 4, 4, -36, -44, -36, -48, -12, 12]","[-8, -1, -11, -3, -3, -12, -4, -4, 2, 1, 3, -5, 1, -9]","[-5, 1, -11, 2, 1, -9, -13, -9, -4, -11, -3, 3, -13, -12]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
852,"[-14, 8, 7, 2, 12, -10, -5, 11, -8, -15, 11, 0, 6, 4]","[-3, -2, -17, -3, 3, 4, -3, 14, -7, -11, -11, -11, -4, 3]","[-10, 12, 11, 6, 16, -6, -1, 15, -4, -11, 15, 4, 10, 8]","[1, 2, -13, 1, 7, 8, 1, 18, -3, -7, -7, -7, 0, 7]","[-14, 8, 2, 12, -10, -5, 11, -8, -15, 11, 0, 6, 4]","[-3, -2, -3, 3, 4, -3, 14, -7, -11, -11, -11, -4, 3]","[-14, 4, 8, 7, 2, 12, -10, -5, 11, -8, -15, 11, 0, 6, 4]","[-3, 4, -2, -17, -3, 3, 4, -3, 14, -7, -11, -11, -11, -4, 3]","[-14, 8, 7, 2, 12, -10, -5, 11, -8, -15, 11, 0, 6, 4, -0.07142857142857142, 0.125, 0.14285714285714285, 0.5, 0.08333333333333333, -0.1, -0.2, 0.09090909090909091, -0.125, -0.06666666666666667, 0.09090909090909091, 'ZeroDivisionError', 0.16666666666666666, 0.25]","[-3, -2, -17, -3, 3, 4, -3, 14, -7, -11, -11, -11, -4, 3, -0.3333333333333333, -0.5, -0.058823529411764705, -0.3333333333333333, 0.3333333333333333, 0.25, -0.3333333333333333, 0.07142857142857142, -0.14285714285714285, -0.09090909090909091, -0.09090909090909091, -0.09090909090909091, -0.25, 0.3333333333333333]","[-56, 32, 28, 8, 48, -40, -20, 44, -32, -60, 44, 0, 24, 16]","[-12, -8, -68, -12, 12, 16, -12, 56, -28, -44, -44, -44, -16, 12]","[2, -5, -15, -10, 6, -14, 11, 7, 12, 0, 8, -8, 11, 4]","[-11, 14, 3, -7, -3, -3, 3, -11, -17, -4, -11, 4, -3, -2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
853,[-5],[14],[-1],[18],[],[],"[4, -5]","[4, 14]","[-5, -0.2]","[14, 0.07142857142857142]",[-20],[56],[-5],[14],error,error,error,error,error,error,[],error,error,error,error,error,error,error,error,error,error
854,"[-8, -2, -1, -6, 3, -8, 2, 4, -12, -3, 4, 2, -6, 8]","[1, -7, -4, -6, 8, -1, -8, -7, 3, 7, 1, -7, 4, 1]","[-4, 2, 3, -2, 7, -4, 6, 8, -8, 1, 8, 6, -2, 12]","[5, -3, 0, -2, 12, 3, -4, -3, 7, 11, 5, -3, 8, 5]","[-8, -2, -1, -6, 3, -8, 2, 4, -12, -3, 2, -6, 8]","[1, -7, -4, -6, 8, -1, -8, -7, 3, 7, -7, 4, 1]","[-8, -2, -1, -6, 3, -8, 2, 4, -12, -3, 4, 2, -6, 4, 8]","[1, -7, -4, -6, 8, -1, -8, -7, 3, 7, 1, -7, 4, 4, 1]","[-8, -2, -1, -6, 3, -8, 2, 4, -12, -3, 4, 2, -6, 8, -0.125, -0.5, -1.0, -0.16666666666666666, 0.3333333333333333, -0.125, 0.5, 0.25, -0.08333333333333333, -0.3333333333333333, 0.25, 0.5, -0.16666666666666666, 0.125]","[1, -7, -4, -6, 8, -1, -8, -7, 3, 7, 1, -7, 4, 1, 1.0, -0.14285714285714285, -0.25, -0.16666666666666666, 0.125, -1.0, -0.125, -0.14285714285714285, 0.3333333333333333, 0.14285714285714285, 1.0, -0.14285714285714285, 0.25, 1.0]","[-32, -8, -4, -24, 12, -32, 8, 16, -48, -12, 16, 8, -24, 32]","[4, -28, -16, -24, 32, -4, -32, -28, 12, 28, 4, -28, 16, 4]","[8, -2, -8, -8, -1, 2, 3, -6, 2, -12, 4, -3, 4, -6]","[7, -6, -7, 1, 1, -1, 4, -7, 3, 1, -4, 8, -7, -8]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
855,"[-15, 4, 8, 7, 5, 1, 2, -13]","[4, 1, 5, -3, -1, -11, -4, -4]","[-11, 8, 12, 11, 9, 5, 6, -9]","[8, 5, 9, 1, 3, -7, 0, 0]","[4, 8, 7, 5, 1, 2, -13]","[1, 5, -3, -1, -11, -4, -4]","[-15, 4, 8, 7, 5, 4, 1, 2, -13]","[4, 1, 5, -3, -1, 4, -11, -4, -4]","[-15, 4, 8, 7, 5, 1, 2, -13, -0.06666666666666667, 0.25, 0.125, 0.14285714285714285, 0.2, 1.0, 0.5, -0.07692307692307693]","[4, 1, 5, -3, -1, -11, -4, -4, 0.25, 1.0, 0.2, -0.3333333333333333, -1.0, -0.09090909090909091, -0.25, -0.25]","[-60, 16, 32, 28, 20, 4, 8, -52]","[16, 4, 20, -12, -4, -44, -16, -16]","[2, 5, 4, -13, 1, -15, 8, 7]","[-11, 1, -4, 4, -3, -1, 5, -4]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
856,"[-12, -4, -3, -2, 1, -16, -7, -14, -10, -17, -13, -19, 0]","[-9, -10, 3, -6, -18, -1, -17, -10, -7, -5, -9, 3, -7]","[-8, 0, 1, 2, 5, -12, -3, -10, -6, -13, -9, -15, 4]","[-5, -6, 7, -2, -14, 3, -13, -6, -3, -1, -5, 7, -3]","[-12, -4, -3, 1, -16, -7, -14, -10, -17, -13, -19, 0]","[-9, -10, 3, -18, -1, -17, -10, -7, -5, -9, 3, -7]","[-12, -4, -3, -2, 1, -16, -7, -14, -10, -17, 4, -13, -19, 0]","[-9, -10, 3, -6, -18, -1, -17, -10, -7, -5, 4, -9, 3, -7]","[-12, -4, -3, -2, 1, -16, -7, -14, -10, -17, -13, -19, 0, -0.08333333333333333, -0.25, -0.3333333333333333, -0.5, 1.0, -0.0625, -0.14285714285714285, -0.07142857142857142, -0.1, -0.058823529411764705, -0.07692307692307693, -0.05263157894736842, 'ZeroDivisionError']","[-9, -10, 3, -6, -18, -1, -17, -10, -7, -5, -9, 3, -7, -0.1111111111111111, -0.1, 0.3333333333333333, -0.16666666666666666, -0.05555555555555555, -1.0, -0.058823529411764705, -0.1, -0.14285714285714285, -0.2, -0.1111111111111111, 0.3333333333333333, -0.14285714285714285]","[-48, -16, -12, -8, 4, -64, -28, -56, -40, -68, -52, -76, 0]","[-36, -40, 12, -24, -72, -4, -68, -40, -28, -20, -36, 12, -28]","[-2, -16, -7, -19, -4, -14, 1, -13, -10, 0, -17, -12, -3]","[3, 3, -9, -7, -10, -6, -9, -10, -17, -18, -1, -5, -7]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
857,"[6, 8, 11, 10, 12, 4, 10, 15]","[7, 0, 11, -5, 9, 14, -4, 13]","[10, 12, 15, 14, 16, 8, 14, 19]","[11, 4, 15, -1, 13, 18, 0, 17]","[6, 11, 10, 12, 4, 10, 15]","[7, 11, -5, 9, 14, -4, 13]","[6, 8, 11, 10, 12, 4, 4, 10, 15]","[7, 0, 11, -5, 9, 14, 4, -4, 13]","[6, 8, 11, 10, 12, 4, 10, 15, 0.16666666666666666, 0.125, 0.09090909090909091, 0.1, 0.08333333333333333, 0.25, 0.1, 0.06666666666666667]","[7, 0, 11, -5, 9, 14, -4, 13, 0.14285714285714285, 'ZeroDivisionError', 0.09090909090909091, -0.2, 0.1111111111111111, 0.07142857142857142, -0.25, 0.07692307692307693]","[24, 32, 44, 40, 48, 16, 40, 60]","[28, 0, 44, -20, 36, 56, -16, 52]","[6, 8, 10, 15, 11, 4, 12, 10]","[-4, 0, 9, 13, 14, 7, 11, -5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
858,"[4, 6, 4, 15, 2, 13, -2, 12, 2]","[11, 6, 7, 12, 11, -3, 14, 1, 15]","[8, 10, 8, 19, 6, 17, 2, 16, 6]","[15, 10, 11, 16, 15, 1, 18, 5, 19]","[4, 4, 15, 2, 13, -2, 12, 2]","[11, 7, 12, 11, -3, 14, 1, 15]","[4, 4, 6, 4, 15, 2, 13, -2, 12, 2]","[4, 11, 6, 7, 12, 11, -3, 14, 1, 15]","[4, 6, 4, 15, 2, 13, -2, 12, 2, 0.25, 0.16666666666666666, 0.25, 0.06666666666666667, 0.5, 0.07692307692307693, -0.5, 0.08333333333333333, 0.5]","[11, 6, 7, 12, 11, -3, 14, 1, 15, 0.09090909090909091, 0.16666666666666666, 0.14285714285714285, 0.08333333333333333, 0.09090909090909091, -0.3333333333333333, 0.07142857142857142, 1.0, 0.06666666666666667]","[16, 24, 16, 60, 8, 52, -8, 48, 8]","[44, 24, 28, 48, 44, -12, 56, 4, 60]","[13, 4, 2, 15, -2, 4, 6, 2, 12]","[14, 11, 1, -3, 7, 12, 11, 15, 6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
859,"[6, 16, -6]","[-3, -3, 11]","[10, 20, -2]","[1, 1, 15]","[6, -6]","[-3, 11]","[4, 6, 16, -6]","[4, -3, -3, 11]","[6, 16, -6, 0.16666666666666666, 0.0625, -0.16666666666666666]","[-3, -3, 11, -0.3333333333333333, -0.3333333333333333, 0.09090909090909091]","[24, 64, -24]","[-12, -12, 44]","[16, 6, -6]","[-3, 11, -3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
860,"[0, -6, 1, 11, 9, 7, -12, -11, -11, -11]","[4, -9, -10, 10, 17, 13, -7, 14, 11, 5]","[4, -2, 5, 15, 13, 11, -8, -7, -7, -7]","[8, -5, -6, 14, 21, 17, -3, 18, 15, 9]","[0, -6, 1, 9, 7, -12, -11, -11, -11]","[4, -9, -10, 17, 13, -7, 14, 11, 5]","[0, -6, 1, 11, 9, 4, 7, -12, -11, -11, -11]","[4, -9, -10, 10, 17, 4, 13, -7, 14, 11, 5]","[0, -6, 1, 11, 9, 7, -12, -11, -11, -11, 'ZeroDivisionError', -0.16666666666666666, 1.0, 0.09090909090909091, 0.1111111111111111, 0.14285714285714285, -0.08333333333333333, -0.09090909090909091, -0.09090909090909091, -0.09090909090909091]","[4, -9, -10, 10, 17, 13, -7, 14, 11, 5, 0.25, -0.1111111111111111, -0.1, 0.1, 0.058823529411764705, 0.07692307692307693, -0.14285714285714285, 0.07142857142857142, 0.09090909090909091, 0.2]","[0, -24, 4, 44, 36, 28, -48, -44, -44, -44]","[16, -36, -40, 40, 68, 52, -28, 56, 44, 20]","[0, -11, -12, -6, -11, 1, 11, -11, 9, 7]","[-9, -10, -7, 11, 17, 14, 13, 10, 4, 5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
861,"[-7, -5, 5, -1, 10, 0]","[-2, 8, 5, -5, 0, 1]","[-3, -1, 9, 3, 14, 4]","[2, 12, 9, -1, 4, 5]","[-7, -5, 5, -1, 0]","[-2, 8, 5, -5, 1]","[-7, -5, 5, -1, 10, 4, 0]","[-2, 8, 5, -5, 0, 4, 1]","[-7, -5, 5, -1, 10, 0, -0.14285714285714285, -0.2, 0.2, -1.0, 0.1, 'ZeroDivisionError']","[-2, 8, 5, -5, 0, 1, -0.5, 0.125, 0.2, -0.2, 'ZeroDivisionError', 1.0]","[-28, -20, 20, -4, 40, 0]","[-8, 32, 20, -20, 0, 4]","[-5, -7, 0, 10, 5, -1]","[1, 8, 5, -2, 0, -5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
