,id,td_a,td_b,td_c,td_type_a,td_type_b,td_type_c,size_td_a,size_td_b
424,SojcwqnfjCeGSF5e5bRhGB,"[-3, -8, -15, -9, -8, -2, -14, -14, -2, -17, -16, -7, -16]","[-3, -6, -5, -13, -6, 1, -10, 1, 4, -7, -9, -12, -14]",15,<class 'list'>,<class 'list'>,<class 'list'>,13,13
425,dcMaSfU5ZwzyGhVhdQSeHH,"[2, -2, 8]","[13, 13, -2]",16,<class 'list'>,<class 'list'>,<class 'list'>,3,3
426,6Tov79vXDP4Gvdn8kSXBNp,"[-7, 13, 9, -9, 9, 8, 12, -2, -11, -7]","[-1, 1, 17, 0, 8, -7, -2, -14, 9, 5]",-5,<class 'list'>,<class 'list'>,<class 'list'>,10,10
427,RnfAE98B9XykFFV59wKjKi,"[1, -13, 7, 1, -12, -8, -2, -13, 5, 1, 8, 13, 14, -12]","[-9, -7, 6, 7, 7, 11, -13, 8, 6, 3, -12, 4, 6, -8]",10,<class 'list'>,<class 'list'>,<class 'list'>,14,14
428,CdhtSiWGm3ahuegeW3SNFm,"[2, 10]","[9, -15]",-18,<class 'list'>,<class 'list'>,<class 'list'>,2,2
429,B9MykXE8xeNJRCVjGAkr5W,"[6, 11, 1, -8]","[-8, 2, 4, -10]",11,<class 'list'>,<class 'list'>,<class 'list'>,4,4
430,9msxqyThdQ4AmjxwJ9wpPq,"[6, 0, 3, -2, -1, 0, 6, 4, -2, -4, -7, 8, -8]","[-10, -2, 5, -11, 0, 3, 6, -4, -6, 3, 0, -9, -2]",-8,<class 'list'>,<class 'list'>,<class 'list'>,13,13
431,LVzkAN4wX6RKVMeFBdYhD6,"[-5, 7, -6, -4, -2, -12, 9, -4, -14, -2]","[-10, 0, -6, -1, -14, -14, -16, -15, -2, 8]",11,<class 'list'>,<class 'list'>,<class 'list'>,10,10
432,STUYrJgDACCr4zjdyW7Zcm,"[-3, 12, -1, 2, 13, 5, 5]","[6, 4, 3, 8, 12, 7, 8]",14,<class 'list'>,<class 'list'>,<class 'list'>,7,7
433,dvfQJg6n8UnhQZsC8TbwhN,"[6, -3, 1, -10, -11, -13, 5, 6, 1, -10, -7, 3]","[-3, -4, 0, -3, -4, -10, -13, 7, -9, -9, 1, -7]",10,<class 'list'>,<class 'list'>,<class 'list'>,12,12
434,VyCabvb3MPBQ5L8y5Udm2D,"[2, 7, 3, -8, 5, 5, -3, -2, 1, 3, -3, -6]","[11, 2, -5, 3, 0, 10, -7, 8, 12, 8, -8, 12]",17,<class 'list'>,<class 'list'>,<class 'list'>,12,12
435,2a8AcS3evo4KazmnoNN2XC,"[12, 8, 2, 6, 9, 3, 15, -8, -5, 2, 7]","[6, -7, 10, -5, 8, 9, -9, -10, 8, -4, 2]",2,<class 'list'>,<class 'list'>,<class 'list'>,11,11
436,TbiWZ9AaJFnb3kd7Bomgh4,"[2, 10, 14]","[0, 8, 14]",7,<class 'list'>,<class 'list'>,<class 'list'>,3,3
437,CNFPTV8FdXKGSNMjWPtoWp,[],[],5,<class 'list'>,<class 'list'>,<class 'list'>,0,0
438,3LuTU9eEBJNLJme5kvbpRg,"[-14, 12, 1, -10, -8, -12, -19, -12, -17, -12, 14, 8, 4, -9]","[-17, -7, -15, -18, 10, 15, -19, -19, -4, 9, 7, -18, -5, 7]",-11,<class 'list'>,<class 'list'>,<class 'list'>,14,14
439,SyNnRnty5EV6LcJkenSBgV,"[1, -17, -3, -17, -2, 1]","[-12, 5, 0, -16, 9, -14]",16,<class 'list'>,<class 'list'>,<class 'list'>,6,6
440,az6hocfno72GsHHk8MU6ni,"[4, -1, 3, 2, 0, 0, 0, 4, -5, -5]","[-6, 5, 9, 3, -1, 2, 9, -5, 0, 6]",-10,<class 'list'>,<class 'list'>,<class 'list'>,10,10
441,djbnWdMM7PEpZ3wvxFsCZd,"[2, 8]","[2, 7]",4,<class 'list'>,<class 'list'>,<class 'list'>,2,2
442,ETeHdQja87sm5gyisMp2mA,"[6, 9, -3, 9, 2, -1, 7, 4, -1, 9, -4, -6, -2]","[13, -2, 2, -6, 9, 9, 6, 11, 9, 13, -4, 7, 12]",6,<class 'list'>,<class 'list'>,<class 'list'>,13,13
443,aA8xXyN3guar3DoMvvDw9s,"[-9, -8, 0, 3, -8, -6, 10, -9, -8, -6, -3]","[5, -5, 8, -5, 7, 7, 11, 9, 10, 9, -9]",-15,<class 'list'>,<class 'list'>,<class 'list'>,11,11
444,eMjanbseTytcU92vPneaRg,"[-3, -8]","[9, 13]",4,<class 'list'>,<class 'list'>,<class 'list'>,2,2
445,R4isExxiEjvpNRXabwtbsc,"[6, -6, 1]","[-2, 11, -7]",-8,<class 'list'>,<class 'list'>,<class 'list'>,3,3
446,J2GeH37A2rkUTRoK2cGSiS,"[-1, 9]","[-14, -2]",-11,<class 'list'>,<class 'list'>,<class 'list'>,2,2
447,ZGQqFRyYxcCvDP3QaXLtMw,"[0, 12, 3, -3, -5, 11, 0, 1, 5, 9, -1, 6]","[-7, 14, -5, 5, -6, 9, 2, 10, -3, 12, -3, -6]",17,<class 'list'>,<class 'list'>,<class 'list'>,12,12
448,bxbyFS8tqw23xziNNX2Bct,"[5, 7, 10, -2]","[-11, 9, 0, 0]",7,<class 'list'>,<class 'list'>,<class 'list'>,4,4
449,3GRjyExmQahGJ3Twny5Gsi,"[14, -6, 4, 12, 2, 4, 12, 6, -3, 9]","[-1, 4, -6, 12, 1, -2, -1, 3, 3, -4]",10,<class 'list'>,<class 'list'>,<class 'list'>,10,10
450,k4u7oCoCzWDg8zwFWRoi8j,"[1, 13, -4, 14, 2]","[-1, 1, -1, -12, -9]",17,<class 'list'>,<class 'list'>,<class 'list'>,5,5
451,7VajT8D2kvnNjCTktYhScK,"[2, 4, 8, -11, -10, 1, 5, -7, 2, 8, 2, 6, -7]","[1, 5, -11, -10, 1, -4, 3, -8, 8, -12, 8, -9, -4]",14,<class 'list'>,<class 'list'>,<class 'list'>,13,13
452,nKfJxxruJVuvRGBcLEM6xQ,"[7, 1, 10, -2]","[9, -1, -5, 0]",-8,<class 'list'>,<class 'list'>,<class 'list'>,4,4
453,AwVToTue487Ts9bYHUnhXA,"[-6, -7, -12, 0, 4, 3, 1, -12, -3, -12, 2]","[-16, -11, 2, 3, 4, -7, -16, -5, -12, -7, -12]",0,<class 'list'>,<class 'list'>,<class 'list'>,11,11
454,FEB9mK5sPXsy9NGa8V7BdA,[-2],[15],8,<class 'list'>,<class 'list'>,<class 'list'>,1,1
455,FxGByAJTjQwvkcHbmjdTXq,"[-2, 4, -7, 7, -2, -5, -1, 5, -4, 4, 1, 1]","[6, -8, 2, 0, 6, 7, -6, 3, -8, 9, -4, 8]",5,<class 'list'>,<class 'list'>,<class 'list'>,12,12
456,hzrapCRXL2kzUJrzJ58zLS,"[-9, -1, -12]","[5, 0, 5]",12,<class 'list'>,<class 'list'>,<class 'list'>,3,3
457,VqqrSEa7HcStNBfAjqMHnH,"[-9, 9, -7, 9, 3]","[-16, -5, -9, -3, -15]",13,<class 'list'>,<class 'list'>,<class 'list'>,5,5
458,CNFPTV8FdXKGSNMjWPtoWp,[],[],-12,<class 'list'>,<class 'list'>,<class 'list'>,0,0
459,YYGpkadbFZcXWsQX5sstCs,"[12, 1]","[12, 4]",-18,<class 'list'>,<class 'list'>,<class 'list'>,2,2
460,8WJgqfegJmyVB78yXwMfi7,"[-14, 2, 1, 9, 3, -11, -4, 4, 8, 13, 17, 17]","[-1, 10, 0, -7, 6, 15, -11, -1, 7, -2, 6, 2]",-7,<class 'list'>,<class 'list'>,<class 'list'>,12,12
461,KdX2e4uYcir5jgNeNwQzsR,"[-7, -1, -14, 10, -2, 13, 11, -12, 1, -11]","[-4, 12, 11, 10, -16, -15, 1, -15, -2, -11]",0,<class 'list'>,<class 'list'>,<class 'list'>,10,10
462,Lh3U6Cov7XS5BJkSuZh7mC,"[-5, 4, -8, -3, -6, -19, -5, -14, 0, 11, 12, -10, -19, -6]","[-10, 8, 2, 4, -14, -18, 3, -19, -16, -6, -5, 10, 6, 0]",-19,<class 'list'>,<class 'list'>,<class 'list'>,14,14
463,XMCVAMK3VHgiYoc7rLYSfo,"[18, -11, 8, 3, -7, -16, 9, -7, -4, -9, 8, -6, -10, -11]","[-16, 13, 10, 4, -11, 3, -11, 11, -14, 14, 12, -6, 2, -10]",7,<class 'list'>,<class 'list'>,<class 'list'>,14,14
464,RCnMCtjp9XuNL2uVNyxSMK,"[-18, 1, -12, -16, -8, -6]","[6, 12, -18, 2, -17, -4]",12,<class 'list'>,<class 'list'>,<class 'list'>,6,6
465,dXZ4UCWUR9vMjfNtovmKUu,"[-8, 0, 7, 5, 5, -7, 1, -13, -4, 8, -19, 6]","[7, 8, -12, -1, 7, 0, 0, -9, 8, 6, -13, -3]",-13,<class 'list'>,<class 'list'>,<class 'list'>,12,12
466,7ZtKwoVsFXMqvpBhzd8WPC,"[4, 5, -5, 7, 9, 3, -5]","[0, -5, 3, 5, 0, -5, 5]",13,<class 'list'>,<class 'list'>,<class 'list'>,7,7
467,CNFPTV8FdXKGSNMjWPtoWp,[],[],-5,<class 'list'>,<class 'list'>,<class 'list'>,0,0
468,YzkkC6nFnxPhTeyABgtRG8,"[-3, -11]","[17, -10]",-17,<class 'list'>,<class 'list'>,<class 'list'>,2,2
469,QFxjj6faNSRLHFangNKonS,"[-17, -15, 1, -14, -1, -13, -9, -3, -12, -4]","[-19, 4, -1, -19, -14, -16, 6, 8, 7, -17]",12,<class 'list'>,<class 'list'>,<class 'list'>,10,10
470,c2UMc3LDQXTh7cukAkcHRy,[3],[6],-16,<class 'list'>,<class 'list'>,<class 'list'>,1,1
471,LGePfhwRdDChgo5RLM3sse,"[1, -3, 18, -5, 7]","[-11, 0, 0, 5, -9]",4,<class 'list'>,<class 'list'>,<class 'list'>,5,5
472,SrqvPeJDroniydR5d8uPUz,"[5, -6, -12, -13, 0, 8, 2, -8]","[-7, 9, -9, -8, 13, -8, -6, -5]",-8,<class 'list'>,<class 'list'>,<class 'list'>,8,8
473,JaRnxTjDMs6GJZqNyWriWk,"[-3, 5, -2, 7, 6, 12, 6]","[-9, 6, 3, -12, -9, 1, 9]",-12,<class 'list'>,<class 'list'>,<class 'list'>,7,7
474,T3Ha7GAcAeHV2TEwd9EaTY,"[-17, -15, 10, -19, -1, -10, 2, -12]","[-8, 17, 1, -3, 14, -13, 12, -4]",6,<class 'list'>,<class 'list'>,<class 'list'>,8,8
475,Y9jXorEsXUim5bXsTho7PE,"[12, 0, 8]","[3, 5, 1]",3,<class 'list'>,<class 'list'>,<class 'list'>,3,3
476,VktXAuCptRG6JeZNABAbQY,"[-2, -6, -5, -5, 7, 2, 7, 14, 12, 10, 18, 2, -7]","[2, -11, 6, 12, 0, 2, 5, 8, -8, 16, 17, 14, 13]",7,<class 'list'>,<class 'list'>,<class 'list'>,13,13
477,BvtmMKuzfN2pjjvpt4dWwr,"[-1, 4, -5, -4, 1, -5, -1, 1, 2, 0, 0, -5]","[2, -5, 0, -5, 2, 1, 5, -1, 0, 4, -5, 2]",-8,<class 'list'>,<class 'list'>,<class 'list'>,12,12
478,4SjLGY49UwbJihMkSRa6Nc,"[3, 4]","[-8, -11]",-9,<class 'list'>,<class 'list'>,<class 'list'>,2,2
479,hjLS6rGpaLfw8JH8vER2L6,"[-12, 11]","[-8, 0]",5,<class 'list'>,<class 'list'>,<class 'list'>,2,2
480,2AvrqmdvQXyu7HSuLkpRgP,"[13, 1, 3, -6, 3, -6, 3, 9, -3]","[1, -5, 11, 2, 9, 9, 1, 2, 12]",17,<class 'list'>,<class 'list'>,<class 'list'>,9,9
481,QhHTjNsr99xYE5ATGQMpPS,"[-2, -3, -5, -3]","[-3, -11, 3, 5]",14,<class 'list'>,<class 'list'>,<class 'list'>,4,4
482,QmWBriUXJGRorRZYr8gNVe,"[-10, 0, -11, -1, 0, -12, -6]","[4, -8, -10, 6, -17, 4, -8]",-15,<class 'list'>,<class 'list'>,<class 'list'>,7,7
483,A69EtQ3ydN4e9CFgkZoXcx,"[11, -11, 7, 4, -10, -2, -11, 2, -5]","[-11, -6, -2, 2, 10, -7, 13, -3, -9]",-13,<class 'list'>,<class 'list'>,<class 'list'>,9,9
484,A4TvfJvnhKQaj4pkzLvgN9,"[-6, -7, -6, 4, -9, -10, 1, -7]","[-11, -10, 8, -4, 9, 0, 6, -4]",19,<class 'list'>,<class 'list'>,<class 'list'>,8,8
485,R8qeARQmLUFvdLbzZuoCp4,"[-4, 8]","[-2, 5]",-13,<class 'list'>,<class 'list'>,<class 'list'>,2,2
486,24wXBDNybpB9ghWr2SaX8K,[2],[-14],-8,<class 'list'>,<class 'list'>,<class 'list'>,1,1
487,YDWiM7fh79XsTn9FpJEFdH,"[7, 3, 11, 8]","[-7, 9, 1, 9]",8,<class 'list'>,<class 'list'>,<class 'list'>,4,4
488,ZTGTWp6zCmmEuaBmcRciZQ,"[-1, 9, -12]","[9, -15, 7]",1,<class 'list'>,<class 'list'>,<class 'list'>,3,3
489,Vx3ieCkazNerPW7rS6MvVY,"[-13, -17]","[-6, 1]",-9,<class 'list'>,<class 'list'>,<class 'list'>,2,2
490,Bk2M3G9xqF9dJ2swyevtL4,"[18, -1, 7, -5, 18, 12, 5, -3, 16, -2, 6]","[7, 14, 16, 6, 1, 5, -5, 8, 17, 1, -3]",0,<class 'list'>,<class 'list'>,<class 'list'>,11,11
491,YbF9LhjqJoV7xfdJPPZNWN,"[13, -2, 0, 8, 3, -8, -15, 1, -4, -5, -4, 8, 11, -5]","[3, -7, -7, -15, 6, -14, -3, -8, -4, 15, 0, 3, -3, 2]",-3,<class 'list'>,<class 'list'>,<class 'list'>,14,14
492,cCNP2M6RnX7ASfFDwiDPcA,"[14, 12, -2, 2, -3, 5, 2, 5, 7, 6, 9, 10, 12]","[0, 10, -5, 12, 5, 14, -9, 5, -7, 7, 13, 4, 3]",0,<class 'list'>,<class 'list'>,<class 'list'>,13,13
493,dJnpHH9amjWqoJgSSkc2SJ,"[16, 14]","[1, 12]",1,<class 'list'>,<class 'list'>,<class 'list'>,2,2
494,XC3ZYJwkbe9gQL7ugDCifj,"[-5, 0, -6, -8, 1, -3, -6, -1, 14, 15, 13, 3, -3]","[-7, 17, 3, -6, 6, 16, 4, 15, 5, -3, 2, 9, -2]",10,<class 'list'>,<class 'list'>,<class 'list'>,13,13
495,Lyqtd83y4eJEFjDLvjbcJA,"[1, -13, 1, -13, 9]","[-14, -9, -14, -7, 9]",19,<class 'list'>,<class 'list'>,<class 'list'>,5,5
496,9rWcpiJYtLS8aaELwutaLz,[7],[-6],-16,<class 'list'>,<class 'list'>,<class 'list'>,1,1
497,Ph8D9EQnetUxYh78Fx53pP,"[-3, -8, 3, 1, -5, -4, 6, -3, 5]","[-7, 3, 5, 4, -6, -2, -6, 3, 4]",-16,<class 'list'>,<class 'list'>,<class 'list'>,9,9
498,TaWaoPhJWFa4RqxDgKj7CP,"[5, 8, 10, -16, -14, -14, -17, -3, 2, -2, 4, -18, -5]","[-18, -6, 4, -6, 0, -9, -19, -6, -16, 2, -3, -14, 3]",-17,<class 'list'>,<class 'list'>,<class 'list'>,13,13
499,Ht9erU2vSJwSuUnLaYudJZ,"[-2, -12, 3, -8, -11, 6, -12, -8, -13, -8, 7]","[-12, -6, -8, 5, 8, -3, -1, 8, -2, -4, 5]",2,<class 'list'>,<class 'list'>,<class 'list'>,11,11
500,Xus4mUhLRUrxe6SB67YC7f,"[7, -3, 14, -7]","[4, 8, -5, -5]",1,<class 'list'>,<class 'list'>,<class 'list'>,4,4
501,44eHUnhpSNrepU5gw7RANR,"[-17, -7, 5, 6, -2, -16, 8, 6, -3, -14, -7]","[2, 2, -15, -16, -10, -2, -5, -5, -7, 8, -5]",-14,<class 'list'>,<class 'list'>,<class 'list'>,11,11
502,CNFPTV8FdXKGSNMjWPtoWp,[],[],-17,<class 'list'>,<class 'list'>,<class 'list'>,0,0
503,jSowca8zPEePDX4o5Fiu2V,"[-1, 0, -3, 0, 1, 6, 2, 3, 4, 4]","[3, 0, -6, -4, -5, -4, -3, 6, 3, 7]",-6,<class 'list'>,<class 'list'>,<class 'list'>,10,10
504,Aoy5twzaRdJ3hYk5NwZPcc,"[-7, -11, -9, -13, -4, 6, -16, -11, 5, 7, -15, 1, -12]","[-8, -10, -17, 5, -6, 7, -9, -15, -3, -3, -12, -6, 6]",19,<class 'list'>,<class 'list'>,<class 'list'>,13,13
505,6YNcT57StpDNNsPydzcvWU,"[11, 0, 11]","[-3, 3, 12]",-3,<class 'list'>,<class 'list'>,<class 'list'>,3,3
506,VtV9R8AVqme6keeXaWqLPX,"[3, 2, -1, 1, 6, 1, -4, 2, -4]","[-5, 0, -1, 6, -3, -5, -1, -3, -3]",11,<class 'list'>,<class 'list'>,<class 'list'>,9,9
507,CNFPTV8FdXKGSNMjWPtoWp,[],[],-10,<class 'list'>,<class 'list'>,<class 'list'>,0,0
508,69nbJFi7adLkExXZfjbCRG,"[-11, -1, 8, 0, 0, -9, -2, -10, -12, -6, -12, 7, -9]","[-1, 8, 7, 1, 9, 7, 1, 4, 5, -11, -6, -4, 4]",-6,<class 'list'>,<class 'list'>,<class 'list'>,13,13
509,drBrnJr48QEnLbjGNc2zLa,"[1, -7, 8, 0, -5, -4, -5]","[9, 4, 7, -6, 4, 6, 3]",17,<class 'list'>,<class 'list'>,<class 'list'>,7,7
510,ZRjEmq63wZ6zHZKwfWHewa,"[1, -3, -2, -3, -5, -3, 2, 4, 8, 3, -2, -8, 3, 2]","[1, 9, 3, -6, 9, 7, 8, -1, -5, -4, 8, 0, 1, -6]",0,<class 'list'>,<class 'list'>,<class 'list'>,14,14
511,CNFPTV8FdXKGSNMjWPtoWp,[],[],2,<class 'list'>,<class 'list'>,<class 'list'>,0,0
512,GESbJAYGAoFF3QQkRUnxDS,"[-7, -15, -10, -11]","[-16, 1, -13, -17]",-2,<class 'list'>,<class 'list'>,<class 'list'>,4,4
513,JaBnm3rnFrUzmQEXrU99BD,"[17, 14, -5, 2, 8, 13, 1, -1]","[6, 5, 11, 6, -3, 2, 12, 4]",-8,<class 'list'>,<class 'list'>,<class 'list'>,8,8
514,7ma9oobpzkdrivfJsZaxBe,"[9, -2, -9, 4, -8, -5, -14, 8, -3, -10, -14, -13, 2]","[-14, 10, -12, 10, -13, -14, 1, -10, -5, -5, -13, -10, 10]",-10,<class 'list'>,<class 'list'>,<class 'list'>,13,13
515,CNFPTV8FdXKGSNMjWPtoWp,[],[],-11,<class 'list'>,<class 'list'>,<class 'list'>,0,0
516,eDY5ZUDDVgA4D25TutPmhJ,"[-1, -1, 11, 4, -6, 6, -1, -5, 12, 0, 9]","[14, 12, 1, 4, 13, -3, 2, -5, 7, 13, 5]",-2,<class 'list'>,<class 'list'>,<class 'list'>,11,11
517,CxA8g9b9CNc5hWKSaDenya,"[-13, -7, 5, -3, -6, 6, -15, 6, 3, -11]","[-9, -2, 10, -1, -15, 3, 2, -6, 3, -12]",-1,<class 'list'>,<class 'list'>,<class 'list'>,10,10
518,CuJ6KTbJ3wvqLLt7sUQk4K,"[14, 6, 8, -2, 4, -5, -1, 8, -4, 8, 0]","[6, -5, 8, -1, 4, 13, 6, -4, -6, 1, 13]",0,<class 'list'>,<class 'list'>,<class 'list'>,11,11
519,ay8hDLDZTFfrmHqy8ifJ8N,"[15, 11, -3, -1, 9, 3, 4, 1, -4, 5, 14, 9]","[5, 14, 15, -3, -7, 7, -3, 7, 6, -11, 3, -2]",15,<class 'list'>,<class 'list'>,<class 'list'>,12,12
520,nPfauSRPeac9iYPjuSftSP,[-5],[12],-2,<class 'list'>,<class 'list'>,<class 'list'>,1,1
521,9HNPYXfzzGWCatZKmm3KSV,"[-9, 2, 3, -7, 0, -11, -2, 5, 2, -1, 3]","[-8, -10, 3, -5, -11, -3, -8, -3, -12, -12, -1]",3,<class 'list'>,<class 'list'>,<class 'list'>,11,11
522,kYV6RqeGdWmBjKmv8qhfr6,"[4, 3]","[5, 18]",-5,<class 'list'>,<class 'list'>,<class 'list'>,2,2
523,Fc87SfER8EesvGvX7WoYBV,"[14, -7]","[12, -2]",11,<class 'list'>,<class 'list'>,<class 'list'>,2,2
524,GKNSSkFpLsUzMVuARPosa3,"[-5, -1, -4, 9, 10, 13, -1, 0, 1, 17]","[12, -4, -4, 4, -2, 14, 17, 0, -3, 4]",-7,<class 'list'>,<class 'list'>,<class 'list'>,10,10
525,BUQSJG9H3H2zAy4UD9J2up,"[0, -9, -5, 2, 1, -4, -8, 8, -8, -10, 2, -3, -9, 1]","[-10, -4, -1, -1, 6, -11, -5, 8, 4, 0, 6, -9, -3, -2]",10,<class 'list'>,<class 'list'>,<class 'list'>,14,14
526,S6eoDUrJGGru4oW9b57aGk,[1],[-4],-13,<class 'list'>,<class 'list'>,<class 'list'>,1,1
527,UbNkVy8fuwwmqALpjPsHUg,"[7, 13, 5, 15, -6, 9, 6, -4, 2, -1, 12, 14, -7]","[-5, 9, 8, -5, 6, 15, 2, -5, 2, 10, 0, -6, 11]",-7,<class 'list'>,<class 'list'>,<class 'list'>,13,13
528,mvTGSs6ZYhtPu8x9ipMNBo,"[6, 11, 6, 4, 10, 3]","[11, 7, 2, 16, -3, 14]",18,<class 'list'>,<class 'list'>,<class 'list'>,6,6
529,8qs3ae9U5BZUSofzdZPCMJ,"[3, 1, 0, 5]","[-3, 2, 6, -6]",-10,<class 'list'>,<class 'list'>,<class 'list'>,4,4
530,CNFPTV8FdXKGSNMjWPtoWp,[],[],5,<class 'list'>,<class 'list'>,<class 'list'>,0,0
531,HKU42UdLcvxMdyojSL5KKX,"[0, 4, 0, -1, -9, 2, -4]","[4, 1, 1, 2, 1, -9, -8]",-18,<class 'list'>,<class 'list'>,<class 'list'>,7,7
532,Mqsob3Hq8PkwXLrPaALtLd,"[-4, 12, 13, 12, -11, -5]","[13, -6, -1, 11, 1, 1]",14,<class 'list'>,<class 'list'>,<class 'list'>,6,6
533,3m7PuKma6Bb8mtELNDYfXs,"[7, 8, -5, 10, 2, -2, 3]","[-1, 8, 8, -3, 7, 6, 10]",-11,<class 'list'>,<class 'list'>,<class 'list'>,7,7
534,knkkni3KA9i9aMkxaNYoSx,"[-4, 2, -16, -11, 14, 13, 5, -13, 5]","[-15, -12, 10, -2, -8, -1, 12, -16, -15]",0,<class 'list'>,<class 'list'>,<class 'list'>,9,9
535,cWX35Rt5UukYmSake8WuXX,"[-10, 5, -5, -1, 9, -11, -3, 10, -16, 5]","[9, -10, -9, 12, -13, 18, 15, -1, 1, -1]",4,<class 'list'>,<class 'list'>,<class 'list'>,10,10
536,NzY88iqbPRKVDBM7TEpnB8,"[-9, 7, -10, 11, -1, 13, 15, -4, -6, -10]","[3, -10, -3, -13, -17, 14, -13, 2, -15, -7]",-5,<class 'list'>,<class 'list'>,<class 'list'>,10,10
537,Z88RD9xXc5BCJhPf5GWBbq,"[-8, -11, 0, -7, -10, -11, -12, -2, -17, -1, -6, 3]","[-4, -8, 3, -11, -4, -3, -7, -4, -1, -3, -17, -6]",8,<class 'list'>,<class 'list'>,<class 'list'>,12,12
538,WqyE86MntyTcZM9NQX67vu,"[-5, 2, 0, 4, 2, -4]","[0, 5, 2, -1, 1, 3]",19,<class 'list'>,<class 'list'>,<class 'list'>,6,6
539,cEKwBeLaPagtz8vbNMs2Em,"[10, 7, 12, -12, -6, -1, 0, 7, -15, 9, 6]","[6, 1, -3, 11, -12, -7, -4, 0, -9, 3, -4]",6,<class 'list'>,<class 'list'>,<class 'list'>,11,11
540,CNFPTV8FdXKGSNMjWPtoWp,[],[],11,<class 'list'>,<class 'list'>,<class 'list'>,0,0
541,nZtcRn5UL3uWqDjQjx8tyC,"[9, 0, -11, 3, -16, 3, -2]","[-15, 1, 2, -15, -3, 6, -1]",-19,<class 'list'>,<class 'list'>,<class 'list'>,7,7
542,FGTuUVyLNyGMAroMLF7KB5,"[-4, -11]","[-9, 4]",-11,<class 'list'>,<class 'list'>,<class 'list'>,2,2
543,FEB9mK5sPXsy9NGa8V7BdA,[-2],[-12],9,<class 'list'>,<class 'list'>,<class 'list'>,1,1
544,mkzH9sudbosVPJVNMDekyg,"[8, -3, -4, -5, 4, 4, -5, 2, -10, -8, -3, -9, 6, -1]","[6, -10, 12, -2, -5, 9, -13, 0, -10, -6, 12, -12, 1, 5]",-9,<class 'list'>,<class 'list'>,<class 'list'>,14,14
545,gm6poEsaStwVrvWaF27qas,"[0, -7, -1, -6, 2, 1, -1, -9, -15]","[-14, 0, -14, -1, -10, -10, -7, -6, -9]",-14,<class 'list'>,<class 'list'>,<class 'list'>,9,9
546,TjpLMSNrnqYwGxnoNzfEig,"[-16, -14, 14, -15, -2]","[-5, -12, 2, -6, 14]",3,<class 'list'>,<class 'list'>,<class 'list'>,5,5
547,TX9FvQBJ7EKoab7DYUwVu4,[9],[1],12,<class 'list'>,<class 'list'>,<class 'list'>,1,1
548,aRxqrkRqZoBptAMgdp8qWL,"[0, 5, 7, -2]","[-3, 0, 4, 0]",11,<class 'list'>,<class 'list'>,<class 'list'>,4,4
549,DZmbPenExrucXzG5tSXUZL,"[4, 7, 8, -6, 14, -3, 13, -5, 9, -8, -8, 13, 14]","[-5, -8, 4, 11, 1, -8, 10, 9, 11, 13, 5, 7, -4]",17,<class 'list'>,<class 'list'>,<class 'list'>,13,13
550,R7DUmCDegoiFB35X2a3Jq3,"[2, 3]","[9, 12]",2,<class 'list'>,<class 'list'>,<class 'list'>,2,2
551,fLMGasAEYKA2Gqp2rF4MXc,"[-7, 5, 4]","[3, 8, 5]",6,<class 'list'>,<class 'list'>,<class 'list'>,3,3
552,AARBNJY2DAtDggeVReBciS,"[6, 3, 4, -13, -5, -5, -1, -15, -9, -1, 2, -10]","[0, -13, -14, 1, -13, 5, -6, 6, -10, -10, 5, -15]",-18,<class 'list'>,<class 'list'>,<class 'list'>,12,12
553,GsyNUtxB6ChYikNRUbBLsx,"[10, -19, -12, 13, 1, -18, 6, 13]","[4, -19, -10, 1, 10, -4, 5, -12]",16,<class 'list'>,<class 'list'>,<class 'list'>,8,8
554,hnAVdYNDmcgdRf5K4tnLGA,"[-10, -4, 5, -5, 8, -7]","[-2, 11, -1, -16, -4, -8]",-1,<class 'list'>,<class 'list'>,<class 'list'>,6,6
555,hxHgDu7egXFpzStQK4uPmP,"[5, 11, -13, -5, 5, -1, 10, -9, 9, -1]","[0, 4, -13, -1, 8, -1, -3, 7, -9, 5]",-14,<class 'list'>,<class 'list'>,<class 'list'>,10,10
556,g8DuEKvHL4ozdmPwnCfTTS,[-1],[-11],2,<class 'list'>,<class 'list'>,<class 'list'>,1,1
557,KLSMuAwEqwsf3c3PRoYidQ,"[-6, 2, -10, 0, 0, -9, -13, 7, -10, -7]","[-7, 2, -2, 8, -6, -4, 3, 1, 12, 6]",-4,<class 'list'>,<class 'list'>,<class 'list'>,10,10
558,ebSL9ndPjbSLJqmjisxvuc,"[4, 5, 6, -7, -7]","[-2, -5, -4, -14, -10]",2,<class 'list'>,<class 'list'>,<class 'list'>,5,5
559,fF97hs8qKSxQdCsY45DMUu,"[-10, 6]","[8, -13]",16,<class 'list'>,<class 'list'>,<class 'list'>,2,2
560,6qUV9EzmwAfTSUWXfxmLvh,"[-13, -11, 1, -6, -3, -7, -15, -12, -3, -3, -11, -1, -16]","[-12, 5, -4, -18, -3, -13, -11, -4, 0, -4, -8, -17, -2]",-13,<class 'list'>,<class 'list'>,<class 'list'>,13,13
561,PYSgnjPVFSnzUiHsLfTGYG,"[-1, -4, 7, 12, -6, 3, 1, -5, 9, 12, 8, 5, 0, 5]","[-6, 0, 5, 3, 8, 11, 0, 10, 10, 9, 13, 2, 8, 9]",-2,<class 'list'>,<class 'list'>,<class 'list'>,14,14
